batch_size | beta | epoch | initializer | rbf_neurons,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_betas,param_epochs,param_initializer,param_rbf_neurons,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
64_2.0_10_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_20,78.81118774414062,2.24355681828556,0.7161972522735596,0.0036790553850344666,64,2.0,10,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,20,"{'batch_size': 64, 'betas': 2.0, 'epochs': 10, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 20}",0.26144999265670776,0.3686999976634979,0.3361000120639801,0.32208333412806195,0.04489239979297587,133
16_2.0_50_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_10,127.58415548006694,0.3109947028190014,0.9191430409749349,0.007606800295736973,16,2.0,50,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,10,"{'batch_size': 16, 'betas': 2.0, 'epochs': 50, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 10}",0.2365500032901764,0.5977500081062317,0.10894999653100967,0.31441666930913925,0.20700849593944337,134
64_1.0_10_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_10,58.123855193456016,4.994296349435284,0.6855247815450033,0.10299999986286192,64,1.0,10,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,10,"{'batch_size': 64, 'betas': 1.0, 'epochs': 10, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 10}",0.322050005197525,0.3463999927043915,0.26034998893737793,0.30959999561309814,0.03621604470456893,135
32_2.0_20_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_20,51.474185943603516,0.3517623009284151,1.0349728266398113,0.2910321823868763,32,2.0,20,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,20,"{'batch_size': 32, 'betas': 2.0, 'epochs': 20, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 20}",0.11410000175237656,0.4020000100135803,0.41260001063346863,0.3095666741331418,0.1382835372510468,136
16_2.0_20_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_20,73.12577660878499,6.516302264616027,1.2338724931081135,0.11092846692767541,16,2.0,20,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,20,"{'batch_size': 16, 'betas': 2.0, 'epochs': 20, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 20}",0.1140500009059906,0.1140500009059906,0.6820999979972839,0.3033999999364217,0.2677813366641681,137
16_2.0_20_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_10,98.07976706822713,0.46334341678309426,1.4511064688364665,0.08744530668848041,16,2.0,20,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,10,"{'batch_size': 16, 'betas': 2.0, 'epochs': 20, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 10}",0.40845000743865967,0.11410000175237656,0.3763999938964844,0.29965000102917355,0.1318544715857295,138
32_2.0_50_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_10,157.48746808369955,27.90185138570571,0.6953903039296468,0.0315419153271495,32,2.0,50,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,10,"{'batch_size': 32, 'betas': 2.0, 'epochs': 50, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 10}",0.30515000224113464,0.48295000195503235,0.10894999653100967,0.29901666690905887,0.15274644429252468,139
16_1.0_10_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_10,25.943609793980915,0.14528187526189426,1.0715548992156982,0.2167424914550525,16,1.0,10,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,10,"{'batch_size': 16, 'betas': 1.0, 'epochs': 10, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 10}",0.1140500009059906,0.3598499894142151,0.42124998569488525,0.29838332533836365,0.1327317363658354,140
16_2.0_20_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_10,61.87962539990743,14.500139755876793,1.1570016543070476,0.19717777540055226,16,2.0,20,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,10,"{'batch_size': 16, 'betas': 2.0, 'epochs': 20, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 10}",0.2944500148296356,0.28575000166893005,0.2944500148296356,0.29155001044273376,0.004101225534898076,141
32_2.0_10_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_20,26.751309235890705,0.44349946751036284,1.0378411610921223,0.2642863523461078,32,2.0,10,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,20,"{'batch_size': 32, 'betas': 2.0, 'epochs': 10, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 20}",0.20389999449253082,0.40849998593330383,0.26159998774528503,0.29133332272370654,0.08613300773066179,142
